Year,1996,2001,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total,3732000,3880500,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4693200,4793900,4885500
  Northland region,140700,144400,152700,154700,156300,158200,160600,162500,163500,164700,166000,168300,171400,175400,179100
  Auckland region,1115800,1218300,1373000,1390400,1405500,1421700,1439600,1459600,1476500,1493200,1526900,1569900,1614500,1657200,1695900
  Waikato region,358800,368400,393200,397300,401600,406600,412400,417300,421500,424600,430800,439100,449200,460100,468800
  Bay of Plenty region,230600,246900,265300,267900,270200,272700,275700,278200,278800,279700,282300,287100,293500,299900,305700
  Gisborne region,47200,45500,46000,46000,46000,46300,46700,46800,47000,47000,47100,47400,47900,48500,49100
  Hawke's Bay region,146600,147300,152100,152900,153500,154500,156300,157300,157500,158000,158900,160000,161600,164000,165900
  Taranaki region,109000,105700,107300,107600,108300,109300,110700,111800,112700,113600,114800,115700,116700,118000,119600
  Manawatu-Wanganui region,234500,227500,229400,228700,228600,229300,230400,231300,231200,231200,232500,234500,236900,240300,243700
  Wellington region,426900,440200,466300,469300,471800,475600,479400,483400,485100,486700,491400,496900,504900,513900,521500
  Tasman region,38800,42400,45800,46200,46500,46900,47400,48200,48600,48800,49100,49500,50300,51200,52100
  Nelson region,41200,42900,44300,44700,45200,45800,46500,47500,48200,48700,49300,49900,50600,51400,51900
  Marlborough region,39200,40700,43600,43800,44200,44400,44600,44700,44600,44700,44800,45300,45500,46200,46600
  West Coast region,33200,31100,32100,32300,32400,32700,32800,33100,33100,33000,32800,32700,32500,32500,32600
  Canterbury region,480400,496700,540000,547400,553800,560600,567700,559300,556000,562900,574300,586400,599900,612000,624200
  Otago region,189300,188300,199800,201000,202100,203300,204600,206600,207400,208800,211600,215000,219200,224200,229200
  Southland region,99000,93300,93200,93100,93300,93900,94700,95700,95900,96000,96500,97300,98000,98400,99100
  Area outside region,780,760,650,650,650,650,640,640,610,600,600,610,610,640,650
